접수일자,제작사,차명,모델년도
2019-01-10,기타,26.5톤평탄트레일러,2017
2019-01-11,현대자동차,아반떼(AVANTE),2019
2019-01-11,르노코리아,SM3,2014
2019-01-11,KG 모빌리티,코란도C,2013
2019-01-11,르노코리아,SM6,2019
2019-01-11,메르세데스-벤츠,ML250 BlueTEC 4Matic,2013
2019-01-11,기아,K3,2013
2019-01-11,르노코리아,SM6,2016
2019-01-11,기아,스포티지,2012
2019-01-11,기아,니로 하이브리드,2017
2019-01-11,한국지엠,말리부 1.5 TURBO,2017
2019-01-11,한국토요타자동차,렉서스 GS450h,2009
2019-01-11,한국지엠,말리부 1.5 TURBO,2017
2019-01-11,현대자동차,쏘나타 (SONATA),2010
2019-01-11,아우디폭스바겐코리아,A6 35 TDI,2016
2019-01-11,한국토요타자동차,렉서스 IS250,2008
2019-01-11,한국닛산,ALTIMA 2.5,2014
2019-01-14,기아,K3,2015
2019-01-14,지엠대우오토앤테크놀로지,CHEVROLET EQUINOX FWD,2018
2019-01-14,지엠대우오토앤테크놀로지,CHEVROLET EQUINOX FWD,2018
2019-01-14,한국지엠,말리부 1.35 TURBO,2019
2019-01-14,아우디폭스바겐코리아,A6 50 TFSI quattro,2016
2019-01-14,현대자동차,투싼(TUCSON),2019
2019-01-14,한국닛산,ALTIMA 3.5,2014
2019-01-14,현대자동차,그랜저(GRANDEUR),2007
2019-01-14,지엠대우오토앤테크놀로지,CHEVROLET EQUINOX FWD,2018
2019-01-14,기아,레이,2014
2019-01-14,현대자동차,아반떼 쿠페 (AVANTE COUPE),2014
2019-01-14,현대자동차,에쿠스(EQUUS),2011
2019-01-14,현대자동차,마이티,2015
2019-01-14,기아,K7,2012
2019-01-14,지엠대우오토앤테크놀로지,CHEVROLET EQUINOX FWD,2018
2019-01-14,한국지엠,말리부 2.0 TURBO,2017
2019-01-14,르노코리아,SM5 LPLi,2010
2019-01-14,한국지엠,말리부 1.35 TURBO,2019
2019-01-14,기아,쏘렌토,2016
2019-01-14,기아,니로 하이브리드,2017
2019-01-14,기아,니로 하이브리드,2017
2019-01-14,BMW,BMW 530i,2018
2019-01-15,한국지엠,라세티 1.8 DOHC,2010
2019-01-15,BMW,BMW 320i,2010
2019-01-15,기아,카니발,2018
2019-01-15,한국토요타자동차,렉서스 ES300h,2018
2019-01-15,현대자동차,쏘나타(SONATA),2018
2019-01-15,현대자동차,쏘나타 (SONATA),2010
2019-01-15,재규어랜드로버코리아,재규어 XE 2.0D,2016
2019-01-15,아우디폭스바겐코리아,A6 35 TDI,2016
2019-01-15,한국지엠,말리부 1.5 TURBO,2017
2019-01-15,현대자동차,제네시스(GENESIS),2012
2019-01-15,르노코리아,SM7,2016
2019-01-15,지엠대우오토앤테크놀로지,CHEVROLET EQUINOX FWD,2018
2019-01-15,BMW,MINI Cooper D Countryman,2013
2019-01-15,한국지엠,올란도 2.0 LPG,2014
2019-01-16,기아,쏘렌토,2018
2019-01-16,한국지엠,올란도 2.0 디젤,2015
2019-01-16,현대자동차,그랜저(GRANDEUR),2019
2019-01-16,현대자동차,메가트럭,2017
2019-01-16,현대자동차,아반떼 하이브리드(AVANTE HYBRID),2010
2019-01-16,한국지엠,말리부 1.5 TURBO,2017
2019-01-16,만트럭버스코리아,TGS,2015
2019-01-16,크라이슬러코리아,짚 컴패스,2009
2019-01-16,르노코리아,QM3,2014
2019-01-16,한국지엠,말리부 2.0 TURBO,2017
2019-01-16,현대자동차,투싼(TUCSON),2017
2019-01-16,현대자동차,쏘나타(SONATA),2012
2019-01-16,기아,니로 하이브리드,2018
2019-01-16,한국지엠,말리부 1.5 TURBO,2017
2019-01-16,현대자동차,그랜저(GRANDEUR),2019
2019-01-16,KG 모빌리티,렉스턴스포츠,2019
2019-01-16,르노코리아,SM5 LPLi,2012
2019-01-16,현대자동차,싼타페(SANTAFE),2013
2019-01-16,한국닛산,ALTIMA 2.5,2017
2019-01-16,기아,K5,2012
2019-01-16,현대자동차,쏘나타(SONATA),2013
2019-01-16,한국지엠,말리부 1.5 TURBO,2017
2019-01-16,한국지엠,말리부 1.35 TURBO,2019
2019-01-16,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2019
2019-01-17,한불모터스,Peugeot 308SW 1.6 Blue-HDi,2015
2019-01-17,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2015
2019-01-17,메르세데스-벤츠,E300 4Matic,2016
2019-01-17,한불모터스,푸조 508 1.6 e-HDi,2013
2019-01-17,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2014
2019-01-17,BMW,MINI Cooper D five-door,2016
2019-01-17,아우디폭스바겐코리아,Q3 35 TDI quattro,2015
2019-01-17,한국지엠,말리부 2.0 TURBO,2017
2019-01-17,한국지엠,말리부 2.0 TURBO,2017
2019-01-17,기아,K5,2012
2019-01-18,아우디폭스바겐코리아,A3 2.0 TDI,2014
2019-01-18,만트럭버스코리아,TGX,2016
2019-01-18,기아,K5,2019
2019-01-18,현대자동차,쏘나타 (SONATA) 하이브리드,2012
2019-01-18,BMW,BMW 530i xDrive,2017
2019-01-18,한불모터스,푸조 508SW 2.0 HDi,2014
2019-01-18,한국지엠,트랙스 1.4,2014
2019-01-18,한국지엠,말리부 1.5 TURBO,2017
2019-01-18,한국지엠,올란도 2.0 LPG,2012
2019-01-18,기아,K5,2012
2019-01-18,현대자동차,맥스크루즈 (MAXCRUZ),2014
2019-01-18,재규어랜드로버코리아,재규어 XF 3.0D,2015
2019-01-18,르노코리아,SM6,2016
2019-01-18,현대자동차,쏘나타 (SONATA),2012
2019-01-21,현대자동차,투싼(TUCSON),2017
2019-01-21,BMW,BMW 528i,2016
2019-01-21,현대자동차,쏘나타(SONATA),2016
2019-01-21,BMW,BMW GT 30d xDrive,2013
2019-01-21,한불모터스,푸조 508 1.6 e-HDi,2015
2019-01-21,기아,카니발 리무진,2019
2019-01-21,만트럭버스코리아,TGX,2016
2019-01-21,기아,K7,2013
2019-01-21,만트럭버스코리아,TGX,2015
2019-01-21,기아,모닝,2018
2019-01-21,만트럭버스코리아,TGX,2015
2019-01-21,BMW,BMW X5 xDrive30d,2015
2019-01-21,KG 모빌리티,티볼리,2018
2019-01-21,메르세데스-벤츠,E250 CDI 4Matic,2014
2019-01-21,지엠대우오토앤테크놀로지,CHEVROLET EQUINOX FWD,2018
2019-01-21,기아,카니발,2019
2019-01-21,한국지엠,트랙스 1.4,2014
2019-01-21,한불모터스,푸조 508SW 2.0 HDi,2014
2019-01-21,한국지엠,말리부 1.5 TURBO,2017
2019-01-21,현대자동차,투싼(TUCSON),2017
2019-01-21,한국지엠,말리부 1.35 TURBO,2019
2019-01-21,BMW,BMW 520d,2017
2019-01-22,크라이슬러코리아,짚 랭글러 사하라,2015
2019-01-22,현대자동차,투싼(TUCSON),2016
2019-01-22,한국지엠,말리부 2.0 DOHC,2013
2019-01-22,현대자동차,그랜저(GRANDEUR),2010
2019-01-22,만트럭버스코리아,TGX,2017
2019-01-22,현대자동차,포터Ⅱ (PORTERⅡ),2015
2019-01-22,BMW,BMW 525d,2013
2019-01-22,기아,카니발 리무진,2019
2019-01-22,기아,카니발,2015
2019-01-22,현대자동차,그랜저(GRANDEUR),2012
2019-01-22,KG 모빌리티,코란도 투리스모,2018
2019-01-22,기아,모닝,2012
2019-01-22,기아,K5,2011
2019-01-22,바이크코리아,AK550I,2018
2019-01-22,바이크코리아,AK550I,2018
2019-01-22,현대자동차,i40 Saloon,2012
2019-01-22,기아,K5,2011
2019-01-22,기아,K7,2016
2019-01-22,현대자동차,G70,2018
2019-01-23,BMW,BMW Gran Turismo EfficientDynamics Edition,2017
2019-01-23,아우디폭스바겐코리아,A6 35 TDI,2016
2019-01-23,BMW,BMW Gran Turismo 30d xDrive,2015
2019-01-23,기아,K7,2016
2019-01-23,오토트레이더코리아,쉐보레익스프레스(EXPRESS),2013
2019-01-23,기아,니로 하이브리드,2018
2019-01-23,기아,K5,2011
2019-01-23,현대자동차,맥스크루즈 (MAXCRUZ),2018
2019-01-23,현대자동차,싼타페(SANTAFE),2019
2019-01-23,현대자동차,투싼(TUCSON),2019
2019-01-23,BMW,BMW 320i,2011
2019-01-23,르노코리아,QM6,2017
2019-01-23,한국지엠,말리부 1.5 TURBO,2017
2019-01-23,크라이슬러코리아,짚그랜드체로키,2012
2019-01-23,메르세데스-벤츠,GLC350 e 4Matic,2018
2019-01-23,현대자동차,그랜저(GRANDEUR),2014
2019-01-23,한국지엠,말리부 1.5 TURBO,2017
2019-01-23,한국지엠,말리부 1.5 TURBO,2017
2019-01-24,현대자동차,쏘나타 (SONATA),2011
2019-01-24,현대자동차,G80,2018
2019-01-24,BMW,BMW 1 Series Urban,2013
2019-01-24,메르세데스-벤츠,Mercedes-AMG A45 4Matic,2016
2019-01-24,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2016
2019-01-24,기아,그랜드 카니발,2009
2019-01-24,현대자동차,아반떼 (AVANTE),2012
2019-01-24,KG 모빌리티,액티언스포츠,2010
2019-01-24,메르세데스-벤츠,E300 4Matic,2019
2019-01-24,크라이슬러코리아,짚 체로키,2015
2019-01-24,한국지엠,캡티바 2.0D 디젤,2015
2019-01-25,대창모터스,Danigo,2018
2019-01-25,기아,K7,2018
2019-01-25,한국지엠,캡티바 2.2D 디젤,2013
2019-01-25,한국토요타자동차,렉서스 IS250,2008
2019-01-25,르노코리아,QM3,2016
2019-01-25,현대자동차,싼타페(SANTAFE),2016
2019-01-25,지엠코리아,캐딜락 SRX 3.0,2012
2019-01-25,지엠코리아,캐딜락 SRX 3.0,2010
2019-01-25,한국지엠,캡티바 2.0D 디젤,2013
2019-01-28,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2016
2019-01-28,한불모터스,푸조 508 1.6 e-HDi,2015
2019-01-28,BMW,BMW Z4 sDrive35i,2009
2019-01-28,BMW,BMW 520d,2018
