received_date,manufacturer_name,model_name,model_year,vehicle_type
2019-03-15,KG 모빌리티,G4 렉스턴,2019,SUV
2019-03-15,현대자동차,그랜드 스타렉스(GRAND STAREX),2019,MPV/미니밴
2019-03-15,현대자동차,팰리세이드(PALISADE),2019,SUV
2019-03-18,기아,니로 하이브리드,2018,SUV
2019-03-18,현대자동차,스타렉스(STAREX),2006,MPV/미니밴
2019-03-18,기아,니로 하이브리드,2018,SUV
2019-03-18,르노코리아,QM3,2016,SUV
2019-03-18,르노코리아,QM3,2019,SUV
2019-03-18,현대자동차,투싼(TUCSON),2016,SUV
2019-03-19,르노코리아,QM6,2017,SUV
2019-03-20,기아,모하비,2018,SUV
2019-03-20,현대자동차,싼타페(SANTAFE),2018,SUV
2019-03-21,KG 모빌리티,티볼리,2019,SUV
2019-03-21,현대자동차,싼타페(SANTAFE),2011,SUV
2019-03-22,기아,쏘렌토,2015,SUV
2019-03-22,현대자동차,그랜드 스타렉스(GRAND STAREX),2013,MPV/미니밴
2019-03-22,기아,그랜드 카니발,2007,MPV/미니밴
2019-03-22,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-03-25,기아,쏘렌토,2016,SUV
2019-03-26,기아,쏘렌토,2010,SUV
2019-03-27,현대자동차,그랜드 스타렉스(GRAND STAREX),2015,MPV/미니밴
2019-03-27,포드,Explorer 2.3 AWD,2018,SUV
2019-03-28,기아,니로 하이브리드,2017,SUV
2019-03-28,르노코리아,QM3,2014,SUV
2019-03-29,현대자동차,싼타페(SANTAFE),2019,SUV
2019-03-29,기아,쏘렌토,2010,SUV
2019-03-29,르노코리아,QM6,2018,SUV
2019-03-29,기아,카니발,2015,MPV/미니밴
2019-04-01,현대자동차,그랜드 스타렉스(GRAND STAREX),2014,MPV/미니밴
2019-04-01,기아,니로 하이브리드,2018,SUV
2019-04-01,기아,스포티지,2013,SUV
2019-04-02,KG 모빌리티,렉스턴,2011,SUV
2019-04-02,기아,쏘렌토,2017,SUV
2019-04-02,현대자동차,그랜드 스타렉스(GRAND STAREX),2019,MPV/미니밴
2019-04-03,KG 모빌리티,렉스턴,2013,SUV
2019-04-03,기아,쏘렌토,2019,SUV
2019-04-04,KG 모빌리티,G4 렉스턴,2019,SUV
2019-04-04,현대자동차,스타렉스(STAREX),2005,MPV/미니밴
2019-04-05,현대자동차,싼타페(SANTAFE),2005,SUV
2019-04-08,기아,스포티지,2005,SUV
2019-04-09,현대자동차,싼타페(SANTAFE),2015,SUV
2019-04-10,현대자동차,싼타페(SANTAFE),2014,SUV
2019-04-11,르노코리아,QM3,2015,SUV
2019-04-11,재규어랜드로버,재규어 F-PACE 20d AWD,2019,SUV
2019-04-12,기아,모하비,2017,SUV
2019-04-12,KG 모빌리티,G4 렉스턴,2019,SUV
2019-04-15,기아,쏘렌토,2014,SUV
2019-04-15,현대자동차,싼타페(SANTAFE),2015,SUV
2019-04-15,현대자동차,그랜드 스타렉스(GRAND STAREX),2015,MPV/미니밴
2019-04-15,현대자동차,투싼(TUCSON),2018,SUV
2019-04-15,현대자동차,싼타페(SANTAFE),2014,SUV
2019-04-16,KG 모빌리티,티볼리,2016,SUV
2019-04-17,현대자동차,싼타페(SANTAFE),2004,SUV
2019-04-19,현대자동차,팰리세이드(PALISADE),2019,SUV
2019-04-19,현대자동차,싼타페(SANTAFE),2019,SUV
2019-04-19,현대자동차,팰리세이드(PALISADE),2019,SUV
2019-04-23,현대자동차,싼타페(SANTAFE),2013,SUV
2019-04-23,현대자동차,팰리세이드(PALISADE),2019,SUV
2019-04-23,KG 모빌리티,티볼리,2019,SUV
2019-04-23,현대자동차,싼타페(SANTAFE),2013,SUV
2019-04-24,현대자동차,싼타페(SANTAFE),2014,SUV
2019-04-24,기아,카니발,2019,MPV/미니밴
2019-04-24,볼보,볼보 XC90D5 AWD,2017,SUV
2019-04-24,KG 모빌리티,티볼리,2019,SUV
2019-04-25,기아,쏘렌토,2014,SUV
2019-04-25,기아,스포티지,2016,SUV
2019-04-26,기아,카니발,2015,MPV/미니밴
2019-04-29,KG 모빌리티,렉스턴,2014,SUV
2019-04-29,KG 모빌리티,티볼리 에어,2019,SUV
2019-04-29,기아,카니발,2016,MPV/미니밴
2019-04-29,현대자동차,투싼(TUCSON),2016,SUV
2019-04-30,기아,쏘렌토,2016,SUV
2019-05-02,BMW,BMW X5 xDrive30d,2017,SUV
2019-05-02,기아,카렌스,2016,MPV/미니밴
2019-05-02,기아,카니발,2016,MPV/미니밴
2019-05-02,현대자동차,투싼(TUCSON),2019,SUV
2019-05-03,현대자동차,팰리세이드(PALISADE),2019,SUV
2019-05-03,현대자동차,투싼(TUCSON),2012,SUV
2019-05-03,기아,스포티지,2012,SUV
2019-05-03,기아,카니발,2019,MPV/미니밴
2019-05-07,혼다코리아,ODYSSEY,2019,MPV/미니밴
2019-05-07,기아,스포티지,2018,SUV
2019-05-07,기아,쏘렌토,2019,SUV
2019-05-07,현대자동차,싼타페(SANTAFE),2011,SUV
2019-05-07,현대자동차,싼타페(SANTAFE),2013,SUV
2019-05-07,KG 모빌리티,렉스턴스포츠 칸,2019,SUV
2019-05-07,메르세데스 벤츠,GLC350 e 4Matic,2018,SUV
2019-05-07,기아,카니발,2017,MPV/미니밴
2019-05-07,볼보,볼보 XC90D5 AWD,2017,SUV
2019-05-08,혼다코리아,CR-V 4WD,2015,SUV
2019-05-09,기아,쏘렌토,2011,SUV
2019-05-09,기아,스포티지,2016,SUV
2019-05-09,현대자동차,투싼(TUCSON),2011,SUV
2019-05-09,기아,스포티지,2010,SUV
2019-05-09,기아,카니발,2016,MPV/미니밴
2019-05-09,볼보,볼보 XC90D5 AWD,2017,SUV
2019-05-10,기아,쏘렌토,2011,SUV
2019-05-10,기아,쏘렌토,2011,SUV
2019-05-10,기아,쏘렌토,2011,SUV
2019-05-10,기아,스포티지,2012,SUV
2019-05-10,메르세데스 벤츠,GLC350 e 4Matic,2019,SUV
2019-05-10,현대자동차,투싼(TUCSON),2019,SUV
2019-05-10,현대자동차,싼타페(SANTAFE),2011,SUV
2019-05-10,기아,니로 하이브리드,2018,SUV
2019-05-13,현대자동차,투싼(TUCSON),2011,SUV
2019-05-13,현대자동차,투싼(TUCSON),2016,SUV
2019-05-13,현대자동차,투싼(TUCSON),2012,SUV
2019-05-13,기아,카렌스,2007,MPV/미니밴
2019-05-13,현대자동차,싼타페(SANTAFE),2013,SUV
2019-05-13,기아,쏘렌토,2018,SUV
2019-05-14,기아,쏘렌토,2011,SUV
2019-05-14,기아,니로 하이브리드,2017,SUV
2019-05-14,기아,쏘렌토,2010,SUV
2019-05-14,기아,쏘렌토,2018,SUV
2019-05-14,기아,쏘렌토,2010,SUV
2019-05-15,기아,카니발,2015,MPV/미니밴
2019-05-15,르노코리아,QM6,2018,SUV
2019-05-15,KG 모빌리티,렉스턴스포츠 칸,2019,SUV
2019-05-15,현대자동차,투싼(TUCSON),2018,SUV
2019-05-16,기아,쏘렌토,2014,SUV
2019-05-16,현대자동차,투싼(TUCSON),2018,SUV
2019-05-17,현대자동차,싼타페(SANTAFE),2015,SUV
2019-05-17,현대자동차,싼타페(SANTAFE),2015,SUV
2019-05-20,현대자동차,싼타페(SANTAFE),2019,SUV
2019-05-20,볼보,볼보 XC90D5 AWD,2018,SUV
2019-05-20,기아,모하비,2017,SUV
2019-05-21,현대자동차,그랜드 스타렉스(GRAND STAREX),2015,MPV/미니밴
2019-05-21,기아,스포티지,2016,SUV
2019-05-21,현대자동차,싼타페(SANTAFE),2016,SUV
2019-05-21,기아,스포티지,2005,SUV
2019-05-21,기아,쏘렌토,2019,SUV
2019-05-22,현대자동차,싼타페(SANTAFE),2019,SUV
2019-05-23,기아,스포티지,2017,SUV
2019-05-23,현대자동차,투싼(TUCSON),2016,SUV
2019-05-24,기아,그랜드 카니발,2009,MPV/미니밴
2019-05-24,기아,카니발,2015,MPV/미니밴
2019-05-27,현대자동차,투싼(TUCSON),2016,SUV
2019-05-27,현대자동차,투싼(TUCSON),2016,SUV
2019-05-27,KG 모빌리티,티볼리 에어,2019,SUV
2019-05-27,현대자동차,투싼(TUCSON),2016,SUV
2019-05-27,현대자동차,투싼(TUCSON),2016,SUV
2019-05-27,기아,니로 하이브리드,2018,SUV
2019-05-27,현대자동차,투싼(TUCSON),2016,SUV
2019-05-28,현대자동차,싼타페(SANTAFE),2005,SUV
2019-05-28,현대자동차,투싼(TUCSON),2016,SUV
2019-05-28,기아,스포티지,2016,SUV
2019-05-28,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-05-28,기아,카니발,2015,MPV/미니밴
2019-05-28,현대자동차,투싼(TUCSON),2016,SUV
2019-05-28,현대자동차,투싼(TUCSON),2016,SUV
2019-05-29,KG 모빌리티,티볼리 에어,2019,SUV
2019-05-29,현대자동차,투싼(TUCSON),2016,SUV
2019-05-29,현대자동차,투싼(TUCSON),2016,SUV
2019-05-29,르노코리아,QM6,2019,SUV
2019-05-29,현대자동차,코나(KONA),2019,SUV
2019-05-31,현대자동차,투싼(TUCSON),2016,SUV
2019-05-31,KG 모빌리티,티볼리 에어,2019,SUV
2019-05-31,현대자동차,투싼(TUCSON),2016,SUV
2019-05-31,현대자동차,싼타페(SANTAFE),2003,SUV
